pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence,entry_type,mbl_position_ok,price_above_ema200,golden_cross_state
^FCHI,LONG,2021-11-12,7091.39990234375,6968.762111182048,7336.675484667154,62,True,False,True,0.193,2021-11-26,6968.762111182048,LOSS,10,donchian,indices,,,,,
KC=F,LONG,2021-11-12,219.6999969482422,206.2608442193515,246.57830240602357,61,True,True,True,1.057,2021-11-24,246.57830240602357,WIN,8,donchian,commodities,,,,,
AVAX-USD,LONG,2021-11-13,97.26046752929688,82.18617184747826,127.4090588929341,87,True,False,True,0.046,2021-11-20,127.4090588929341,WIN,7,donchian,crypto,,,,,
LDO-USD,LONG,2021-11-13,5.50731897354126,4.180044758326327,8.161867403971126,87,True,False,True,0.525,2021-11-15,4.180044758326327,LOSS,2,donchian,crypto,,,,,
CRO-USD,LONG,2021-11-14,0.438508003950119,0.3646009063498631,0.5863221991506309,88,True,False,True,0.392,2021-11-17,0.5863221991506309,WIN,3,donchian,crypto,,,,,
USDTRY=X,LONG,2021-11-15,10.029609680175781,9.73454016995138,10.619748700624584,63,True,False,False,0.27,2021-11-17,10.619748700624584,WIN,2,donchian,forex,,,,,
GALA-USD,LONG,2021-11-15,0.12678399682044983,0.10262449696171255,0.17510299653792438,89,True,True,True,0.744,2021-11-17,0.17510299653792438,WIN,2,donchian,crypto,,,,,
POWR-USD,LONG,2021-11-15,0.6014009714126587,0.5096733822114528,0.7848561498150706,89,True,True,True,3.65,2021-11-16,0.7848561498150706,WIN,1,donchian,crypto,,,,,
SYS-USD,LONG,2021-11-15,0.5016499757766724,0.380871410128011,0.7432071070739951,89,True,True,True,0.029,2021-11-29,0.7432071070739951,WIN,14,donchian,crypto,,,,,
META,LONG,2021-11-15,344.5344543457031,325.5125568328315,382.5782493714464,62,True,False,True,0.08,2021-11-30,325.5125568328315,LOSS,10,donchian,stocks,,,,,
BA,LONG,2021-11-15,233.08999633789062,221.36247846814297,256.54503207738594,62,True,True,True,1.04,2021-11-19,221.36247846814297,LOSS,4,donchian,stocks,,,,,
^GDAXI,LONG,2021-11-15,16148.6396484375,15913.085440303495,16619.74806470551,63,True,False,True,0.22,2021-11-23,15913.085440303495,LOSS,6,donchian,indices,,,,,
^STOXX50E,LONG,2021-11-15,4386.18994140625,4317.11600477978,4524.3378146591895,63,True,False,True,0.323,2021-11-23,4317.11600477978,LOSS,6,donchian,indices,,,,,
FTSEMIB.MI,LONG,2021-11-15,27868.0,27378.494106253842,28847.011787492316,63,True,False,True,0.004,2021-11-19,27378.494106253842,LOSS,4,donchian,indices,,,,,
USDCHF=X,LONG,2021-11-16,0.92535001039505,0.9132167211551383,0.9496165888748735,64,True,False,False,0.03,2021-12-29,0.9132167211551383,LOSS,31,donchian,forex,,,,,
USDHUF=X,LONG,2021-11-16,321.614013671875,314.74855890181766,335.3449232119897,64,True,False,False,0.269,2022-01-11,314.74855890181766,LOSS,40,donchian,forex,,,,,
MSFT,LONG,2021-11-16,326.450439453125,316.8620289098819,345.62726053961126,63,True,False,True,0.144,2021-11-26,316.8620289098819,LOSS,7,donchian,stocks,,,,,
EURSEK=X,LONG,2021-11-17,10.069680213928223,9.94398444601484,10.321071749754989,65,True,False,False,0.193,2021-11-26,10.321071749754989,WIN,7,donchian,forex,,,,,
HKDJPY=X,LONG,2021-11-17,14.754610061645508,14.561615054456006,15.140600076024512,65,True,False,False,0.07,2021-11-26,14.561615054456006,LOSS,7,donchian,forex,,,,,
USDJPY=X,LONG,2021-11-17,114.90399932861328,113.43918944034412,117.8336191051516,65,True,False,False,0.299,2021-11-26,113.43918944034412,LOSS,7,donchian,forex,,,,,
SAND-USD,LONG,2021-11-17,3.7349910736083984,2.8755542659454933,5.453864688934209,91,True,True,True,0.67,2021-11-23,5.453864688934209,WIN,6,donchian,crypto,,,,,
AAPL,LONG,2021-11-17,149.92822265625,144.95092961934176,159.88280873006647,64,True,False,True,0.213,2021-11-22,159.88280873006647,WIN,3,donchian,stocks,,,,,
NFLX,LONG,2021-11-17,69.16899871826172,65.88224037198879,75.74251541080758,64,True,False,True,0.044,2021-11-22,65.88224037198879,LOSS,3,donchian,stocks,,,,,
ZS=F,LONG,2021-11-17,1277.0,1232.2285060358379,1366.5429879283242,64,True,True,True,0.692,2021-11-30,1232.2285060358379,LOSS,8,donchian,commodities,,,,,
GBPAUD=X,LONG,2021-11-18,1.855679988861084,1.8259857528927546,1.9150684607977428,66,True,False,False,0.026,2022-01-28,1.9150684607977428,WIN,51,donchian,forex,,,,,
USDTRY=X,LONG,2021-11-18,10.730779647827148,10.237770857534159,11.716797228413128,66,True,False,False,0.223,2021-11-23,11.716797228413128,WIN,3,donchian,forex,,,,,
ROSE-USD,LONG,2021-11-18,0.30645498633384705,0.2384898877381912,0.44238518352515876,92,True,True,True,0.872,2021-11-19,0.2384898877381912,LOSS,1,donchian,crypto,,,,,
AMZN,LONG,2021-11-18,184.80299377441406,176.31506457265198,201.77885217793823,65,True,True,True,1.068,2021-11-26,176.31506457265198,LOSS,5,donchian,stocks,,,,,
^NDX,LONG,2021-11-18,16482.970703125,16115.999481061197,17216.913147252606,65,True,False,True,0.155,2021-11-24,16115.999481061197,LOSS,4,donchian,indices,,,,,
ENJ-USD,LONG,2021-11-19,3.6225268840789795,2.866980762596565,5.133619127043809,93,True,True,True,0.003,2021-12-04,2.866980762596565,LOSS,15,donchian,crypto,,,,,
RENDER-USD,LONG,2021-11-19,6.7662529945373535,5.0561459385679814,10.186467106476098,93,True,True,True,0.483,2021-12-02,5.0561459385679814,LOSS,13,donchian,crypto,,,,,
RACE,LONG,2021-11-19,260.757568359375,251.1678513704798,279.9370023371654,66,True,False,True,0.563,2021-11-26,251.1678513704798,LOSS,4,donchian,stocks,,,,,
